algorithm,runtime,graph_nodes,Budget
non_spreading_dirlaynet_minbudget,0.026532400050200522,21,"(2, [(9, 1), (14, 1), (12, 2), (20, 2)])"
non_spreading_minbudget,0.002501300012227148,21,"(4, [(9, 1), (12, 1), (20, 1), (14, 1)])"
heuristic_minbudget,0.05590399994980544,21,"(2, [(9, 1), (4, 1)])"
non_spreading_dirlaynet_minbudget,0.023533299972768873,21,"(2, [(7, 1), (18, 1)])"
non_spreading_minbudget,0.0022350999643094838,21,"(2, [(18, 1), (7, 1)])"
heuristic_minbudget,0.05720620002830401,21,"(1, [(7, 1), (18, 2)])"
non_spreading_dirlaynet_minbudget,0.025895699975080788,21,"(5, [(3, 1), (4, 1), (7, 1), (8, 1), (13, 1), (15, 2)])"
non_spreading_minbudget,0.002941099985036999,21,"(6, [(3, 1), (4, 1), (7, 1), (8, 1), (13, 1), (15, 1)])"
heuristic_minbudget,0.04916659998707473,21,"(4, [(4, 1), (8, 1), (7, 1), (3, 1)])"
non_spreading_dirlaynet_minbudget,0.025387700006831437,21,"(4, [(6, 1), (7, 1), (11, 1), (18, 1), (15, 2), (17, 2)])"
non_spreading_minbudget,0.002693000016734004,21,"(6, [(6, 1), (7, 1), (11, 1), (15, 1), (17, 1), (18, 1)])"
heuristic_minbudget,0.052136900019831955,21,"(3, [(7, 1), (6, 1), (4, 1)])"
non_spreading_dirlaynet_minbudget,0.023847100033890456,21,"(4, [(1, 1), (4, 1), (6, 1), (16, 1), (14, 2), (18, 2)])"
non_spreading_minbudget,0.002863299974706024,21,"(6, [(1, 1), (4, 1), (6, 1), (14, 1), (16, 1), (18, 1)])"
heuristic_minbudget,0.04718280001543462,21,"(3, [(4, 1), (6, 1), (1, 1)])"
non_spreading_dirlaynet_minbudget,0.02368619997287169,21,"(3, [(8, 1), (9, 1), (13, 1), (17, 2)])"
non_spreading_minbudget,0.002079300000332296,21,"(4, [(8, 1), (9, 1), (13, 1), (17, 1)])"
heuristic_minbudget,0.05467300000600517,21,"(2, [(8, 1), (9, 1), (17, 2), (13, 2)])"
non_spreading_dirlaynet_minbudget,0.021399500023107976,21,"(4, [(2, 1), (8, 1), (10, 1), (15, 1)])"
non_spreading_minbudget,0.002312999975401908,21,"(4, [(8, 1), (2, 1), (10, 1), (15, 1)])"
heuristic_minbudget,0.04505700001027435,21,"(3, [(10, 1), (8, 1), (2, 1)])"
non_spreading_dirlaynet_minbudget,0.02341249998426065,21,"(2, [(2, 1), (18, 1), (11, 2)])"
non_spreading_minbudget,0.002396400028374046,21,"(3, [(18, 1), (2, 1), (11, 1)])"
heuristic_minbudget,0.05267270002514124,21,"(2, [(2, 1), (4, 1)])"
non_spreading_dirlaynet_minbudget,0.021300000022165477,21,"(4, [(5, 1), (7, 1), (8, 1), (9, 1)])"
non_spreading_minbudget,0.002748300030361861,21,"(4, [(8, 1), (9, 1), (5, 1), (7, 1)])"
heuristic_minbudget,0.048394199984613806,21,"(4, [(8, 1), (7, 1), (9, 1), (5, 1)])"
non_spreading_dirlaynet_minbudget,0.021414300019387156,21,"(1, [(2, 1)])"
non_spreading_minbudget,0.0022467999951913953,21,"(1, [(2, 1)])"
heuristic_minbudget,0.04787549999309704,21,"(1, [(2, 1)])"
non_spreading_dirlaynet_minbudget,0.02228309999918565,21,"(1, [(20, 1)])"
non_spreading_minbudget,0.002458399976603687,21,"(1, [(20, 1)])"
heuristic_minbudget,0.023440099961590022,21,"(1, [(3, 1), (6, 2), (9, 3), (16, 4)])"
non_spreading_dirlaynet_minbudget,0.025385100045241416,21,"(4, [(1, 1), (2, 1), (3, 1), (5, 1)])"
non_spreading_minbudget,0.0022116000181995332,21,"(4, [(1, 1), (2, 1), (3, 1), (5, 1)])"
heuristic_minbudget,0.029761900019366294,21,"(2, [(3, 1), (2, 1), (7, 2), (5, 2), (10, 3), (12, 3)])"
non_spreading_dirlaynet_minbudget,0.023374499985948205,21,"(2, [(4, 1), (14, 1)])"
non_spreading_minbudget,0.0023574000224471092,21,"(2, [(4, 1), (14, 1)])"
heuristic_minbudget,0.02184599998872727,21,"(1, [(4, 1), (6, 2), (12, 3)])"
non_spreading_dirlaynet_minbudget,0.023701899976003915,21,"(1, [(9, 1), (17, 2), (19, 3)])"
non_spreading_minbudget,0.002050900016911328,21,"(3, [(17, 1), (19, 1), (9, 1)])"
heuristic_minbudget,0.022314900008495897,21,"(1, [(3, 1), (6, 2), (9, 3), (16, 4)])"
non_spreading_dirlaynet_minbudget,0.023895699996501207,21,"(2, [(3, 1), (14, 1)])"
non_spreading_minbudget,0.0018616999732330441,21,"(2, [(3, 1), (14, 1)])"
heuristic_minbudget,0.022151899989694357,21,"(1, [(3, 1), (6, 2), (12, 3)])"
non_spreading_dirlaynet_minbudget,0.023230999999213964,21,"(1, [(6, 1)])"
non_spreading_minbudget,0.0022188000148162246,21,"(1, [(6, 1)])"
heuristic_minbudget,0.012266699981410056,21,"(1, [(3, 1)])"
non_spreading_dirlaynet_minbudget,0.02540939999744296,21,"(3, [(3, 1), (17, 1), (18, 1), (7, 2)])"
non_spreading_minbudget,0.0024364000419154763,21,"(4, [(17, 1), (18, 1), (3, 1), (7, 1)])"
heuristic_minbudget,0.023234300024341792,21,"(1, [(3, 1), (7, 2), (9, 3), (16, 4)])"
non_spreading_dirlaynet_minbudget,0.023248800018336624,21,"(1, [(11, 1), (6, 2)])"
non_spreading_minbudget,0.0018672000151127577,21,"(2, [(11, 1), (6, 1)])"
heuristic_minbudget,0.017266299983020872,21,"(1, [(3, 1), (6, 2)])"
non_spreading_dirlaynet_minbudget,0.023127100022975355,21,"(1, [(20, 1), (7, 2), (12, 3)])"
non_spreading_minbudget,0.0021035000099800527,21,"(3, [(12, 1), (20, 1), (7, 1)])"
heuristic_minbudget,0.023056200006976724,21,"(1, [(3, 1), (7, 2), (12, 3), (16, 4)])"
non_spreading_dirlaynet_minbudget,0.026615199982188642,21,"(1, [(3, 1)])"
non_spreading_minbudget,0.0021979999728500843,21,"(1, [(3, 1)])"
heuristic_minbudget,0.01277590001700446,21,"(1, [(3, 1)])"
non_spreading_dirlaynet_minbudget,0.022784699976909906,15,"(1, [(7, 1), (5, 2)])"
non_spreading_minbudget,0.004113700008019805,15,"(2, [(5, 1), (7, 1)])"
heuristic_minbudget,0.006588799995370209,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.022695799998473376,15,"(2, [(9, 1), (10, 1)])"
non_spreading_minbudget,0.0019158999784849584,15,"(2, [(9, 1), (10, 1)])"
heuristic_minbudget,0.006096499972045422,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.020728600036818534,15,"(1, [(14, 1)])"
non_spreading_minbudget,0.0018928999779745936,15,"(1, [(14, 1)])"
heuristic_minbudget,0.006145200051832944,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.02090100001078099,15,"(2, [(2, 1), (5, 1)])"
non_spreading_minbudget,0.001783899962902069,15,"(2, [(2, 1), (5, 1)])"
heuristic_minbudget,0.006210500025190413,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.01991699996870011,15,"(1, [(11, 1)])"
non_spreading_minbudget,0.0018495999975129962,15,"(1, [(11, 1)])"
heuristic_minbudget,0.00602720002643764,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.020564999955240637,15,"(2, [(1, 1), (4, 1)])"
non_spreading_minbudget,0.0019548999844118953,15,"(2, [(1, 1), (4, 1)])"
heuristic_minbudget,0.004872000019531697,15,"(1, [(1, 1)])"
non_spreading_dirlaynet_minbudget,0.020879400020930916,15,"(1, [(5, 1), (3, 2)])"
non_spreading_minbudget,0.0018272000015713274,15,"(2, [(3, 1), (5, 1)])"
heuristic_minbudget,0.00581519998377189,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.020717800012789667,15,"(2, [(9, 1), (10, 1)])"
