algorithm,runtime,graph_nodes,Budget,Budget_numeric
non_spreading_dirlaynet_minbudget,0.0265324000502005,21.0,"(2, [(9, 1), (14, 1), (12, 2), (20, 2)])",2.0
non_spreading_minbudget,0.0025013000122271,21.0,"(4, [(9, 1), (12, 1), (20, 1), (14, 1)])",4.0
heuristic_minbudget,0.0559039999498054,21.0,"(2, [(9, 1), (4, 1)])",2.0
non_spreading_dirlaynet_minbudget,0.0235332999727688,21.0,"(2, [(7, 1), (18, 1)])",2.0
non_spreading_minbudget,0.0022350999643094,21.0,"(2, [(18, 1), (7, 1)])",2.0
heuristic_minbudget,0.057206200028304,21.0,"(1, [(7, 1), (18, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0258956999750807,21.0,"(5, [(3, 1), (4, 1), (7, 1), (8, 1), (13, 1), (15, 2)])",5.0
non_spreading_minbudget,0.0029410999850369,21.0,"(6, [(3, 1), (4, 1), (7, 1), (8, 1), (13, 1), (15, 1)])",6.0
heuristic_minbudget,0.0491665999870747,21.0,"(4, [(4, 1), (8, 1), (7, 1), (3, 1)])",4.0
non_spreading_dirlaynet_minbudget,0.0253877000068314,21.0,"(4, [(6, 1), (7, 1), (11, 1), (18, 1), (15, 2), (17, 2)])",4.0
non_spreading_minbudget,0.002693000016734,21.0,"(6, [(6, 1), (7, 1), (11, 1), (15, 1), (17, 1), (18, 1)])",6.0
heuristic_minbudget,0.0521369000198319,21.0,"(3, [(7, 1), (6, 1), (4, 1)])",3.0
non_spreading_dirlaynet_minbudget,0.0238471000338904,21.0,"(4, [(1, 1), (4, 1), (6, 1), (16, 1), (14, 2), (18, 2)])",4.0
non_spreading_minbudget,0.002863299974706,21.0,"(6, [(1, 1), (4, 1), (6, 1), (14, 1), (16, 1), (18, 1)])",6.0
heuristic_minbudget,0.0471828000154346,21.0,"(3, [(4, 1), (6, 1), (1, 1)])",3.0
non_spreading_dirlaynet_minbudget,0.0236861999728716,21.0,"(3, [(8, 1), (9, 1), (13, 1), (17, 2)])",3.0
non_spreading_minbudget,0.0020793000003322,21.0,"(4, [(8, 1), (9, 1), (13, 1), (17, 1)])",4.0
heuristic_minbudget,0.0546730000060051,21.0,"(2, [(8, 1), (9, 1), (17, 2), (13, 2)])",2.0
non_spreading_dirlaynet_minbudget,0.0213995000231079,21.0,"(4, [(2, 1), (8, 1), (10, 1), (15, 1)])",4.0
non_spreading_minbudget,0.0023129999754019,21.0,"(4, [(8, 1), (2, 1), (10, 1), (15, 1)])",4.0
heuristic_minbudget,0.0450570000102743,21.0,"(3, [(10, 1), (8, 1), (2, 1)])",3.0
non_spreading_dirlaynet_minbudget,0.0234124999842606,21.0,"(2, [(2, 1), (18, 1), (11, 2)])",2.0
non_spreading_minbudget,0.002396400028374,21.0,"(3, [(18, 1), (2, 1), (11, 1)])",3.0
heuristic_minbudget,0.0526727000251412,21.0,"(2, [(2, 1), (4, 1)])",2.0
non_spreading_dirlaynet_minbudget,0.0213000000221654,21.0,"(4, [(5, 1), (7, 1), (8, 1), (9, 1)])",4.0
non_spreading_minbudget,0.0027483000303618,21.0,"(4, [(8, 1), (9, 1), (5, 1), (7, 1)])",4.0
heuristic_minbudget,0.0483941999846138,21.0,"(4, [(8, 1), (7, 1), (9, 1), (5, 1)])",4.0
non_spreading_dirlaynet_minbudget,0.0214143000193871,21.0,"(1, [(2, 1)])",1.0
non_spreading_minbudget,0.0022467999951913,21.0,"(1, [(2, 1)])",1.0
heuristic_minbudget,0.047875499993097,21.0,"(1, [(2, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0222830999991856,21.0,"(1, [(20, 1)])",1.0
non_spreading_minbudget,0.0024583999766036,21.0,"(1, [(20, 1)])",1.0
heuristic_minbudget,0.02344009996159,21.0,"(1, [(3, 1), (6, 2), (9, 3), (16, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0253851000452414,21.0,"(4, [(1, 1), (2, 1), (3, 1), (5, 1)])",4.0
non_spreading_minbudget,0.0022116000181995,21.0,"(4, [(1, 1), (2, 1), (3, 1), (5, 1)])",4.0
heuristic_minbudget,0.0297619000193662,21.0,"(2, [(3, 1), (2, 1), (7, 2), (5, 2), (10, 3), (12, 3)])",2.0
non_spreading_dirlaynet_minbudget,0.0233744999859482,21.0,"(2, [(4, 1), (14, 1)])",2.0
non_spreading_minbudget,0.0023574000224471,21.0,"(2, [(4, 1), (14, 1)])",2.0
heuristic_minbudget,0.0218459999887272,21.0,"(1, [(4, 1), (6, 2), (12, 3)])",1.0
non_spreading_dirlaynet_minbudget,0.0237018999760039,21.0,"(1, [(9, 1), (17, 2), (19, 3)])",1.0
non_spreading_minbudget,0.0020509000169113,21.0,"(3, [(17, 1), (19, 1), (9, 1)])",3.0
heuristic_minbudget,0.0223149000084958,21.0,"(1, [(3, 1), (6, 2), (9, 3), (16, 4)])",1.0
