algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.11266760004218668,1,50,0.1,10
heuristic_maxsave,0.04963399993721396,1,50,0.1,10
spreading_maxsave,0.2898441000143066,2,50,0.1,13
heuristic_maxsave,0.04310419992543757,2,50,0.1,13
spreading_maxsave,0.22773869999218732,3,50,0.1,13
heuristic_maxsave,0.03022339998278767,3,50,0.1,13
spreading_maxsave,0.37675339996349066,5,50,0.1,13
heuristic_maxsave,0.03398199996445328,5,50,0.1,13
spreading_maxsave,0.5463948999531567,7,50,0.1,13
heuristic_maxsave,0.03250329999718815,7,50,0.1,13
spreading_maxsave,0.5731595000252128,10,50,0.1,13
heuristic_maxsave,0.03131370001938194,10,50,0.1,13
spreading_maxsave,0.1533193999202922,1,50,0.1,14
heuristic_maxsave,0.06628530006855726,1,50,0.1,9
spreading_maxsave,0.18450620002113283,2,50,0.1,17
heuristic_maxsave,0.07319520006421953,2,50,0.1,18
spreading_maxsave,0.24930809997022152,3,50,0.1,18
heuristic_maxsave,0.035417100065387785,3,50,0.1,18
spreading_maxsave,0.24972910003270954,5,50,0.1,18
heuristic_maxsave,0.022170000011101365,5,50,0.1,18
spreading_maxsave,0.2938546999357641,7,50,0.1,18
heuristic_maxsave,0.018906099954620004,7,50,0.1,18
spreading_maxsave,0.478895099950023,10,50,0.1,18
heuristic_maxsave,0.01996190007776022,10,50,0.1,18
spreading_maxsave,0.13079920003656298,1,50,0.1,10
heuristic_maxsave,0.042608799994923174,1,50,0.1,11
spreading_maxsave,0.1662775999866426,2,50,0.1,11
heuristic_maxsave,0.08804930001497269,2,50,0.1,13
spreading_maxsave,0.21506880002561957,3,50,0.1,12
heuristic_maxsave,0.05665689997840673,3,50,0.1,13
spreading_maxsave,0.2949857999337837,5,50,0.1,13
heuristic_maxsave,0.03804879996459931,5,50,0.1,13
spreading_maxsave,0.4113922999240458,7,50,0.1,13
heuristic_maxsave,0.027453699964098632,7,50,0.1,13
spreading_maxsave,0.3512612999184057,10,50,0.1,13
heuristic_maxsave,0.020667499979026616,10,50,0.1,13
spreading_maxsave,0.6324744001030922,1,50,0.1,11
heuristic_maxsave,1.73240330000408,1,50,0.1,11
spreading_maxsave,2.0456034999806434,2,50,0.1,12
heuristic_maxsave,0.14271990000270307,2,50,0.1,12
spreading_maxsave,0.28262650000397116,3,50,0.1,12
heuristic_maxsave,0.0399693000363186,3,50,0.1,12
spreading_maxsave,0.5569997999118641,5,50,0.1,12
heuristic_maxsave,0.0338549999287352,5,50,0.1,12
spreading_maxsave,0.41147730010561645,7,50,0.1,12
heuristic_maxsave,0.02030670002568513,7,50,0.1,12
spreading_maxsave,0.4165711000096053,10,50,0.1,12
heuristic_maxsave,0.03254219994414598,10,50,0.1,12
spreading_maxsave,0.1226062000496313,1,50,0.1,15
heuristic_maxsave,0.08080739993602037,1,50,0.1,13
spreading_maxsave,0.1607130999909714,2,50,0.1,17
