algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.1126676000421866,1,50.0,0.1,10
heuristic_maxsave,0.0496339999372139,1,50.0,0.1,10
spreading_maxsave,0.2898441000143066,2,50.0,0.1,13
heuristic_maxsave,0.0431041999254375,2,50.0,0.1,13
spreading_maxsave,0.2277386999921873,3,50.0,0.1,13
heuristic_maxsave,0.0302233999827876,3,50.0,0.1,13
spreading_maxsave,0.3767533999634906,5,50.0,0.1,13
heuristic_maxsave,0.0339819999644532,5,50.0,0.1,13
spreading_maxsave,0.5463948999531567,7,50.0,0.1,13
heuristic_maxsave,0.0325032999971881,7,50.0,0.1,13
spreading_maxsave,0.5731595000252128,10,50.0,0.1,13
heuristic_maxsave,0.0313137000193819,10,50.0,0.1,13
spreading_maxsave,0.1533193999202922,1,50.0,0.1,14
heuristic_maxsave,0.0662853000685572,1,50.0,0.1,9
spreading_maxsave,0.1845062000211328,2,50.0,0.1,17
heuristic_maxsave,0.0731952000642195,2,50.0,0.1,18
spreading_maxsave,0.2493080999702215,3,50.0,0.1,18
heuristic_maxsave,0.0354171000653877,3,50.0,0.1,18
spreading_maxsave,0.2497291000327095,5,50.0,0.1,18
heuristic_maxsave,0.0221700000111013,5,50.0,0.1,18
spreading_maxsave,0.2938546999357641,7,50.0,0.1,18
heuristic_maxsave,0.01890609995462,7,50.0,0.1,18
spreading_maxsave,0.478895099950023,10,50.0,0.1,18
heuristic_maxsave,0.0199619000777602,10,50.0,0.1,18
spreading_maxsave,0.1307992000365629,1,50.0,0.1,10
heuristic_maxsave,0.0426087999949231,1,50.0,0.1,11
spreading_maxsave,0.1662775999866426,2,50.0,0.1,11
heuristic_maxsave,0.0880493000149726,2,50.0,0.1,13
spreading_maxsave,0.2150688000256195,3,50.0,0.1,12
heuristic_maxsave,0.0566568999784067,3,50.0,0.1,13
spreading_maxsave,0.2949857999337837,5,50.0,0.1,13
heuristic_maxsave,0.0380487999645993,5,50.0,0.1,13
spreading_maxsave,0.4113922999240458,7,50.0,0.1,13
heuristic_maxsave,0.0274536999640986,7,50.0,0.1,13
spreading_maxsave,0.3512612999184057,10,50.0,0.1,13
heuristic_maxsave,0.0206674999790266,10,50.0,0.1,13
spreading_maxsave,0.6324744001030922,1,50.0,0.1,11
heuristic_maxsave,1.73240330000408,1,50.0,0.1,11
spreading_maxsave,2.0456034999806434,2,50.0,0.1,12
heuristic_maxsave,0.142719900002703,2,50.0,0.1,12
spreading_maxsave,0.2826265000039711,3,50.0,0.1,12
