algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
spreading_minbudget,0.0112333999713882,10,0.1,"(1, [(2, 1)])",1
heuristic_minbudget,0.0116565999924205,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.004474300018046,10,0.1,"(1, [(1, 1)])",1
heuristic_minbudget,0.0118651000084355,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.0096723000169731,10,0.1,"(1, [(1, 1)])",1
heuristic_minbudget,0.0110373999923467,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.0253661999595351,10,0.1,"(2, [(2, 1), (7, 1)])",2
heuristic_minbudget,0.0116057000122964,10,0.1,"(2, [(7, 1), (2, 1)])",2
spreading_minbudget,0.0043803000007756,10,0.1,"(1, [(1, 1)])",1
heuristic_minbudget,0.0107795000076293,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.0273216000059619,10,0.1,"(2, [(2, 1), (7, 1)])",2
heuristic_minbudget,0.0124161000130698,10,0.1,"(1, [(7, 1), (5, 2), (6, 3)])",1
spreading_minbudget,0.0040070000104606,10,0.1,"(1, [(1, 1)])",1
heuristic_minbudget,0.0092325000441633,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.0125113000394776,10,0.1,"(3, [(1, 1), (4, 1), (7, 1)])",3
heuristic_minbudget,0.0116397000383585,10,0.1,"(2, [(7, 1), (4, 1), (1, 2), (5, 2)])",2
spreading_minbudget,0.0039751000003889,10,0.1,"(1, [(7, 1)])",1
heuristic_minbudget,0.0103029999881982,10,0.1,"(1, [(7, 1)])",1
spreading_minbudget,0.0042184999911114,10,0.1,"(1, [(1, 1)])",1
heuristic_minbudget,0.0114378000143915,10,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.0039849000168032,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0019071999704465,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0277358000166714,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0017336999881081,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0097389000002294,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0018893999513238,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0108080999925732,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0018084000330418,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0098531999974511,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0017678999574854,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0199949999805539,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0018808000022545,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.018259200034663,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0024826999870128,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.010024799965322,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0018068000208586,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0043155000312253,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.001624799973797,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0191605000291019,10,0.25,"(1, [(1, 1)])",1
heuristic_minbudget,0.0020953000057488,10,0.25,"(1, [(1, 1)])",1
spreading_minbudget,0.0294210000429302,10,0.5,"(4, [(6, 1), (1, 1), (4, 1), (3, 1)])",4
heuristic_minbudget,0.0466262999689206,10,0.5,"(3, [(4, 1), (6, 1), (3, 1), (1, 2)])",3
spreading_minbudget,0.0048721999628469,10,0.5,"(1, [(5, 1)])",1
heuristic_minbudget,0.0193788000033237,10,0.5,"(1, [(5, 1)])",1
spreading_minbudget,0.0043562999926507,10,0.5,"(1, [(7, 1)])",1
heuristic_minbudget,0.0183287999825552,10,0.5,"(1, [(7, 1)])",1
spreading_minbudget,0.0108477000030688,10,0.5,"(2, [(6, 1), (7, 1)])",2
heuristic_minbudget,0.0190940000466071,10,0.5,"(2, [(6, 1), (7, 1)])",2
spreading_minbudget,0.0259475000202655,10,0.5,"(3, [(5, 1), (6, 1), (7, 1)])",3
heuristic_minbudget,0.0165830999612808,10,0.5,"(3, [(5, 1), (6, 1), (7, 1)])",3
spreading_minbudget,0.0045837999787181,10,0.5,"(1, [(2, 1)])",1
heuristic_minbudget,0.0197936999611556,10,0.5,"(1, [(6, 1)])",1
spreading_minbudget,0.0043590000132098,10,0.5,"(1, [(7, 1)])",1
heuristic_minbudget,0.0193757000379264,10,0.5,"(1, [(7, 1)])",1
spreading_minbudget,0.0259322000201791,10,0.5,"(3, [(1, 1), (4, 1), (7, 1)])",3
heuristic_minbudget,0.0208376999944448,10,0.5,"(2, [(4, 1), (7, 1), (1, 2)])",2
spreading_minbudget,0.0200398999731987,10,0.5,"(2, [(7, 1), (4, 1)])",2
heuristic_minbudget,0.0197248000185936,10,0.5,"(2, [(7, 1), (4, 1)])",2
spreading_minbudget,0.0105382000328972,10,0.5,"(1, [(6, 1)])",1
heuristic_minbudget,0.0197118999785743,10,0.5,"(1, [(6, 1)])",1
spreading_minbudget,0.0114158999640494,10,0.8,"(1, [(6, 1)])",1
heuristic_minbudget,0.0233296999940648,10,0.8,"(1, [(6, 1)])",1
spreading_minbudget,0.011061500001233,10,0.8,"(2, [(4, 1), (7, 1)])",2
