algorithm,runtime,graph_nodes,edge_probability,Budget
spreading_minbudget,0.6043815999873914,100,0.1,"(4, [(6, 1), (23, 1), (27, 1), (25, 1)])"
heuristic_minbudget,0.08351690000563394,100,0.1,"(2, [(25, 1), (6, 1), (27, 2), (23, 2), (41, 3), (72, 3)])"
spreading_minbudget,0.798920300003374,100,0.1,"(3, [(94, 1), (6, 1), (76, 1), (79, 2), (16, 2), (99, 2)])"
heuristic_minbudget,0.0549452000122983,100,0.1,"(3, [(6, 1), (19, 1), (85, 1), (18, 2), (87, 2), (17, 2), (81, 3)])"
spreading_minbudget,1.2247725000052014,100,0.1,"(7, [(6, 1), (70, 1), (23, 1), (36, 1), (47, 1), (2, 1), (25, 1)])"
heuristic_minbudget,0.20194240000273567,100,0.1,"(4, [(47, 1), (25, 1), (19, 1), (85, 1), (17, 2), (96, 2), (61, 2), (67, 2), (42, 3)])"
spreading_minbudget,0.5262910000019474,100,0.1,"(1, [(26, 1), (52, 2)])"
heuristic_minbudget,0.09640729999227915,100,0.1,"(2, [(19, 1), (14, 1), (52, 2), (76, 2), (22, 3), (60, 3)])"
spreading_minbudget,1.2042019000073196,100,0.1,"(6, [(72, 1), (91, 1), (16, 1), (14, 1), (38, 1), (25, 1)])"
heuristic_minbudget,0.12059449999651406,100,0.1,"(4, [(14, 1), (25, 1), (19, 1), (47, 1), (90, 2), (65, 2), (91, 2), (21, 2), (42, 3), (70, 3)])"
spreading_minbudget,0.1407623999984935,100,0.1,"(1, [(6, 1)])"
heuristic_minbudget,0.07592089999525342,100,0.1,"(1, [(6, 1), (84, 2)])"
spreading_minbudget,1.4573968000040622,100,0.1,"(6, [(9, 1), (13, 1), (19, 1), (23, 1), (3, 1), (47, 1)])"
heuristic_minbudget,0.07776210000156425,100,0.1,"(4, [(19, 1), (47, 1), (6, 1), (85, 1), (78, 2), (87, 2), (71, 2), (39, 2)])"
spreading_minbudget,0.8562765999959083,100,0.1,"(3, [(30, 1), (10, 1), (11, 1), (33, 2), (1, 2), (55, 2)])"
heuristic_minbudget,0.05599090000032447,100,0.1,"(3, [(6, 1), (85, 1), (14, 1), (11, 2), (89, 2), (78, 2), (69, 3)])"
spreading_minbudget,0.5544522999989567,100,0.1,"(1, [(6, 1), (78, 2)])"
heuristic_minbudget,0.09719980000227224,100,0.1,"(2, [(25, 1), (6, 1), (93, 2), (11, 2), (72, 3), (64, 3)])"
spreading_minbudget,0.4506552999955602,100,0.1,"(2, [(6, 1), (2, 1), (84, 2), (1, 2)])"
heuristic_minbudget,0.08434780000243336,100,0.1,"(2, [(6, 1), (19, 1), (84, 2), (17, 2), (72, 3), (69, 3)])"
spreading_minbudget,2.9608414999966044,100,0.5,"(29, [(54, 1), (37, 1), (9, 1), (11, 1), (12, 1), (23, 1), (31, 1), (46, 1), (60, 1), (61, 1), (88, 1), (90, 1), (2, 1), (15, 1), (24, 1), (27, 1), (45, 1), (62, 1), (20, 1), (26, 1), (32, 1), (86, 1), (94, 1), (97, 1), (28, 1), (66, 1), (93, 1), (13, 1), (65, 1)])"
heuristic_minbudget,2.033734099997673,100,0.5,"(29, [(37, 1), (45, 1), (65, 1), (12, 1), (46, 1), (88, 1), (24, 1), (54, 1), (93, 1), (28, 1), (26, 1), (13, 1), (60, 1), (62, 1), (31, 1), (61, 1), (27, 1), (90, 1), (2, 1), (9, 1), (23, 1), (20, 1), (66, 1), (94, 1), (97, 1), (15, 1), (86, 1), (32, 1), (11, 1)])"
spreading_minbudget,2.7890169999882346,100,0.5,"(24, [(31, 1), (38, 1), (16, 1), (46, 1), (48, 1), (61, 1), (82, 1), (84, 1), (98, 1), (2, 1), (15, 1), (45, 1), (54, 1), (62, 1), (64, 1), (77, 1), (79, 1), (85, 1), (26, 1), (32, 1), (34, 1), (78, 1), (28, 1), (93, 1)])"
heuristic_minbudget,1.3695207999990089,100,0.5,"(22, [(85, 1), (98, 1), (54, 1), (84, 1), (46, 1), (28, 1), (45, 1), (48, 1), (15, 1), (26, 1), (93, 1), (34, 1), (61, 1), (62, 1), (79, 1), (82, 1), (16, 1), (78, 1), (2, 1), (32, 1), (77, 1), (64, 1)])"
spreading_minbudget,0.29501640000671614,100,0.5,"(2, [(34, 1), (82, 1)])"
heuristic_minbudget,0.8983767999889096,100,0.5,"(2, [(34, 1), (82, 1)])"
spreading_minbudget,1.612422099991818,100,0.5,"(16, [(60, 1), (9, 1), (11, 1), (30, 1), (46, 1), (90, 1), (2, 1), (15, 1), (29, 1), (37, 1), (77, 1), (85, 1), (52, 1), (78, 1), (28, 1), (13, 1)])"
